rebalance_date,ticker,posterior,earnings_date,earnings_day_return,ret_m1_p1,ret_0_p2,full_hold_return
2011-01-31,FFIV,0.915046,2011-02-07,0.004772,0.04492,0.000162,0.088854
2011-01-31,BWA,0.861028,2011-02-10,0.024014,0.075522,0.11091,0.151484
2011-01-31,TPR,0.84887,2011-02-09,0.003496,0.030775,0.011362,0.015345
2011-01-31,SWKS,0.839327,2011-02-08,-0.002251,0.007732,0.005065,0.131256
2011-01-31,CF,0.838537,2011-02-25,0.044919,0.050877,0.022012,0.046897
2011-01-31,CMI,0.825436,2011-02-24,0.001787,-0.007276,0.00427,-0.042722
2011-02-28,LULU,0.841918,2011-03-17,-0.037555,-0.045116,-0.031128,0.147699
2011-02-28,IDCC,0.832564,2011-02-28,-0.015713,-0.016293,-0.035352,0.002101
2011-02-28,IDCC,0.832564,2011-03-28,0.000677,-0.013379,0.082355,0.002101
2011-02-28,AKAM,0.828426,2011-03-01,-0.00453,-0.034701,0.006661,0.012523
2011-02-28,ORLY,0.80769,2011-02-28,0.004337,0.010443,0.0103,0.033825
2011-04-29,DECK,0.893691,2011-05-10,0.00571,0.01064,-0.009404,0.073533
2011-04-29,VSH,0.864835,2011-05-03,-0.085027,-0.128407,-0.116043,-0.168239
2011-04-29,TSCO,0.818996,2011-05-03,-0.001175,-0.052206,-0.007889,0.022855
2011-04-29,OKE,0.777151,2011-05-04,-0.029776,-0.031684,-0.000576,0.016442
2011-04-29,EW,0.770058,2011-05-09,-0.001474,0.023556,-0.002494,0.027562
2011-04-29,CVX,0.768652,2011-05-05,-0.019679,-0.030988,-0.005636,-0.03398
2011-04-29,COP,0.768436,2011-05-03,-0.03795,-0.066422,-0.070995,-0.063382
2011-06-30,MU,0.79238,2011-07-12,-0.024032,-0.02474,-0.026702,-0.014706
2011-07-29,MNST,0.807055,2011-08-09,0.09868,0.007113,0.175156,0.113547
2011-07-29,TSCO,0.802115,2011-08-04,-0.045698,-0.05776,-0.157506,-0.067036
2011-07-29,ENTG,0.783129,2011-07-29,-0.004646,0.002314,-0.046457,-0.12252
2011-07-29,CF,0.760381,2011-08-05,0.035807,-0.10818,0.059609,0.179758
2011-07-29,MCO,0.757862,2011-08-03,0.03817,-0.050636,-0.041957,-0.130343
2011-07-29,DAR,0.755022,2011-08-11,0.105932,0.027064,0.125706,-0.001777
2011-07-29,CTRA,0.754755,2011-07-29,-0.023078,0.060597,-0.030858,0.024497
2011-08-31,ULTA,0.886163,2011-09-08,0.052113,0.236229,0.248768,0.053317
2011-09-30,CTRA,0.867464,2011-10-28,0.022699,0.162777,-0.009818,0.255371
2011-09-30,CL,0.812451,2011-10-27,0.008725,0.013781,-0.001878,0.025549
2011-10-31,MNST,0.89028,2011-11-09,-0.046465,-0.037231,-0.010902,0.034908
2011-10-31,PSMT,0.880064,2011-11-09,-0.023935,-0.082643,-0.126753,-0.107706
2011-10-31,OKE,0.809514,2011-11-02,0.025623,0.020308,0.058951,0.101646
2011-11-30,ULTA,0.93537,2011-12-01,-0.016372,0.085125,0.061324,-0.067643
2011-11-30,LZB,0.797044,2011-11-30,0.042105,0.230851,0.250526,0.20202
2012-01-31,DPZ,0.854133,2012-02-28,0.157424,0.158434,0.144901,0.177949
2012-01-31,LLY,0.852321,2012-02-24,0.006703,0.009274,0.015726,-0.000118
2012-01-31,FAST,0.847723,2012-02-09,-0.012697,0.007071,0.035838,0.128534
2012-01-31,LRCX,0.842918,2012-02-03,-0.007189,-0.016829,-0.025388,-0.020897
2012-01-31,CL,0.842264,2012-02-23,0.00204,-0.00075,-0.008052,0.027117
2012-01-31,ORLY,0.834346,2012-02-28,0.019256,0.009688,0.027891,0.06122
2012-01-31,MCD,0.832463,2012-02-24,-0.004861,-0.00298,-0.003265,0.009362
2012-02-29,SHOO,0.846854,2012-02-29,-0.000232,0.037122,0.007872,-0.009958
2012-03-30,AAPL,0.897334,2012-04-25,0.088741,0.06297,0.076247,-0.02597
2012-03-30,CNC,0.887214,2012-04-24,-0.059296,-0.091595,-0.059964,-0.191546
2012-03-30,FAST,0.884811,2012-04-20,0.014947,-0.04372,-0.025473,-0.13147
2012-04-30,ORLY,0.926804,2012-05-10,0.007227,0.015153,-0.01465,-0.092038
2012-04-30,MNST,0.900901,2012-05-10,0.089726,0.092533,0.084673,0.116923
2012-06-29,CRI,0.919418,2012-07-26,0.010923,-0.007096,0.032572,-0.036692
2012-06-29,AAPL,0.894295,2012-07-25,-0.043184,-0.047944,-0.026227,0.045821
2012-07-31,MNST,0.836267,2012-08-09,-0.096946,-0.211879,-0.213959,-0.112617
2012-07-31,DLTR,0.833813,2012-08-16,-0.0178,-0.033979,-0.0266,-0.043107
2012-08-31,DG,0.817468,2012-09-05,0.007895,-0.00842,-0.015989,0.009203
2012-08-31,ROST,0.810792,2012-09-05,-0.017274,0.000867,-0.019289,-0.066483
2012-09-28,PHM,0.869146,2012-10-25,-0.025215,-0.001733,-0.006304,0.11871
2012-09-28,SHW,0.865132,2012-10-26,-0.002643,-0.06049,0.025643,-0.042509
2012-10-31,EQIX,0.884758,2012-11-06,-0.011954,-0.076737,-0.056223,0.028628
2012-10-31,SBAC,0.848748,2012-11-08,0.007465,0.0125,0.001194,0.037071
2012-10-31,AAPL,0.847995,2012-10-31,-0.014371,-0.021327,-0.045033,-0.012375
2012-10-31,STX,0.842086,2012-10-31,-0.020781,0.003555,0.003941,-0.071562
2012-10-31,HCA,0.803157,2012-11-06,-0.040335,0.103684,0.000931,0.117564
2013-01-31,PPG,0.859587,2013-02-21,-0.010874,-0.020722,-0.009201,-0.019018
2013-01-31,CCI,0.789307,2013-02-12,-0.024561,-0.038847,-0.048122,-0.01021
2013-01-31,NEU,0.788883,2013-02-15,-0.004404,0.004638,-0.003354,-0.013677
2013-01-31,PHM,0.783919,2013-02-06,-0.002533,-0.014228,-0.013678,-0.075217
2013-01-31,SBAC,0.781377,2013-02-27,0.004403,0.014117,0.017327,0.021105
2013-02-28,SRPT,0.827298,2013-03-15,-0.035586,0.063083,-0.010466,0.261092
2013-02-28,ACAD,0.794363,2013-03-12,-0.026235,-0.067381,-0.013889,0.308073
2013-02-28,GNRC,0.786373,2013-03-13,0.002328,0.029283,0.020663,0.025834
2013-03-28,LKQ,0.7874,2013-04-26,0.007446,0.095438,0.054752,0.106618
2013-04-30,MPC,0.887671,2013-05-09,-0.001781,-0.049853,-0.027478,0.057675
2013-04-30,SBRA,0.855344,2013-05-06,0.00808,0.039633,0.027149,-0.083143
2013-04-30,AROC,0.83118,2013-05-02,0.037222,0.051476,0.086723,0.094625
2013-04-30,GILD,0.814983,2013-05-08,-0.014116,-0.03013,-0.004705,0.07583
2013-04-30,DLX,0.814302,2013-05-02,0.007104,-0.030414,0.023224,-0.013152
2013-04-30,SRPT,0.80478,2013-05-09,0.053168,0.082639,0.102197,0.217286
2013-04-30,ALK,0.801509,2013-05-08,-0.002075,-0.004837,-0.019564,-0.078196
2013-07-31,TSLA,0.904356,2013-08-09,-0.003128,0.097966,-0.05245,0.258564
2013-07-31,ACAD,0.859058,2013-08-06,-0.042149,-0.00098,-0.083835,0.013198
2013-07-31,SRPT,0.853506,2013-08-08,-0.000542,-0.082217,-0.116355,-0.077069
2013-07-31,FSLR,0.844209,2013-08-07,-0.134332,-0.153573,-0.122567,-0.253962
2013-07-31,GNW,0.824521,2013-08-01,0.012317,-0.005239,0.004619,-0.091609
2013-07-31,PRAA,0.821175,2013-08-02,0.012704,0.053245,0.006287,0.065702
2013-07-31,PRAA,0.821175,2013-08-06,-0.012781,-0.029378,-0.004578,0.065702
2013-07-31,AROC,0.805434,2013-08-06,-0.076134,-0.10875,-0.114667,-0.136063
2013-07-31,MTZ,0.804685,2013-08-01,0.038788,0.067443,0.065454,-0.036363
2013-09-30,CTRA,0.771942,2013-10-25,0.061424,0.060074,0.050804,-0.053591
2013-09-30,NBIX,0.75498,2013-10-29,0.017159,-0.076995,-0.101049,-0.166961
2013-10-31,ACAD,0.896582,2013-11-06,-0.072848,-0.059856,-0.040618,0.024637
2013-10-31,TSLA,0.844917,2013-11-08,-0.013021,-0.042736,-0.014094,-0.204202
2013-10-31,GNW,0.809957,2013-11-01,-0.004818,0.011847,0.004129,0.039918
2013-10-31,VYX,0.76726,2013-11-05,0.001357,0.01276,-0.035831,-0.043776
2013-10-31,ITT,0.749425,2013-10-31,0.074364,0.079925,0.103839,0.02994
2013-10-31,GILD,0.740509,2013-10-31,-0.020504,0.021151,-0.045824,0.050997
2014-01-31,ACAD,0.807393,2014-02-27,0.012786,-0.026153,-0.05148,0.214592
2014-01-31,LZB,0.806308,2014-02-18,-0.012026,-0.03181,-0.072158,-0.048985
2014-01-31,INCY,0.794477,2014-02-21,0.016583,0.087267,0.069618,-0.019231
2014-01-31,CMG,0.789571,2014-02-05,0.003404,0.002338,0.016093,0.024006
2014-02-28,CNK,0.78777,2014-02-28,0.00068,0.010565,0.02483,-0.013936
2014-03-31,PEP,0.844151,2014-04-17,0.009202,0.023225,0.004365,0.028623
2014-03-31,RCL,0.758494,2014-04-24,-0.0038,-0.013825,-0.025081,-0.02621
2014-03-31,CSGP,0.730193,2014-04-24,-0.060683,-0.090006,-0.098739,-0.138428
2014-04-30,ESS,0.769777,2014-05-12,0.001663,-0.004166,-0.004825,0.044442
2014-04-30,ALNY,0.7485,2014-05-09,0.080979,0.114319,0.152408,0.197052
2014-04-30,WKC,0.744823,2014-04-30,0.020847,0.035561,0.009639,0.018006
2014-04-30,TRGP,0.736701,2014-05-02,-0.003465,0.020557,0.025101,0.064543
2014-04-30,MTDR,0.725581,2014-05-07,-0.063347,-0.082909,-0.100329,-0.133705
2014-06-30,TRN,0.72577,2014-07-30,0.015549,-0.030868,-0.024211,0.000437
2014-06-30,BXMT,0.691131,2014-07-29,0.000352,0.000351,0.002818,-0.018276
